FID,IDtramMucN,tenTram,gio,ngay,toaDoX,toaDoY,mucNuoc,doCaoDinhT,doCaoChanT,baoDongI,baoDongII,baoDongIII,maXa,maHuyen,ghiChu,kinhDo,viDo,day,month,year
112,MN113,Phú An, ,2008-05-23,0,0,0,1,-1.88,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,23,5,2008
113,MN114,Phú An, ,2008-05-24,0,0,0,0.97,-1.9,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,24,5,2008
114,MN115,Phú An, ,2008-05-25,0,0,0,0.96,-1.9,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,25,5,2008
115,MN116,Phú An, ,2008-05-26,0,0,0,0.95,-1.9,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,26,5,2008
116,MN117,Phú An, ,2008-05-27,0,0,0,0.84,-1.84,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,27,5,2008
117,MN118,Phú An, ,2008-05-28,0,0,0,0.86,-1.76,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,28,5,2008
118,MN119,Phú An, ,2008-05-29,0,0,0,0.9,-1.59,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,29,5,2008
119,MN120,Phú An, ,2008-05-30,0,0,0,0.96,-1.36,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,30,5,2008
120,MN121,Phú An, ,2008-05-31,0,0,0,1,-1.08,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,31,5,2008
121,MN122,Phú An, ,2008-06-01,0,0,0,1.03,-1.68,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,1,6,2008
122,MN123,Phú An, ,2008-06-02,0,0,0,1.09,-1.84,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,2,6,2008
123,MN124,Phú An, ,2008-06-03,0,0,0,1.1,-2.07,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,3,6,2008
124,MN125,Phú An, ,2008-06-04,0,0,0,1.16,0,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,4,6,2008
125,MN126,Phú An, ,2008-06-05,0,0,0,1.23,-2.17,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,5,6,2008
126,MN127,Phú An, ,2008-06-06,0,0,0,1.2,-2.1,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,6,6,2008
127,MN128,Phú An, ,2008-06-07,0,0,0,1.14,-2.11,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,7,6,2008
128,MN129,Phú An, ,2008-06-08,0,0,0,0.99,-2.09,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,8,6,2008
129,MN130,Phú An, ,2008-06-09,0,0,0,0.97,-1.96,0,0,0,26740,760,Tổng hợp từ số liệu CCTL (muc nuoc 2008-2022),106.7077778,10.77861111,9,6,2008
